NOC,Name,Discipline
Poland,KOPRON Malwina,Athletics
Switzerland,KORA Salome,Athletics
Greece,KORAKAKI Anna,Shooting
Venezuela,KORBAJ BARRERA Nalek,Boxing
United States of America,KORDA Jessica,Golf
United States of America,KORDA Nelly,Golf
France,KORETZKY Victor,Cycling Mountain Bike
United States of America,KORIR Leonard,Athletics
Turkey,KORKMAZ Salih,Athletics
Russia,KOROBEYNIKOVA Larisa,Fencing
Hungary,KOROKNAI Mate,Athletics
Russia,KOROLEVA Irina,Volleyball
Ukraine,KOROSTYLOV Pavlo,Shooting
Hungary,KORPASI Balint,Wrestling
Netherlands,KORREL Michael,Judo
Netherlands,KORSTANJE Nyls,Swimming
Finland,KORTE Annimari,Athletics
Poland,KORZENIOWSKI Pawel,Swimming
Hungary,KOS Hubert,Swimming
Russia,KOSETSKAYA Evgeniya,Badminton
Kenya,KOSGEI Brigid,Athletics
Finland,KOSONEN Silja,Athletics
Bulgaria,KOSTADINOVA Antoaneta,Shooting
Czech Republic,KOSTELECKY David,Shooting
Russia,KOSTERINA Tatyana,Equestrian
Ukraine,KOSTEVYCH Olena,Shooting
Azerbaijan,KOTSOIEV Zelym,Judo
Ukraine,KOU Lei,Table Tennis
Côte d'Ivoire,KOUAME Christian,Football
Côte d'Ivoire,KOUAO Koffi,Football
Côte d'Ivoire,KOUASSI Eboue,Football
New Zealand,KOUDINOV Mikhail,Artistic Gymnastics
Mali,KOUMA Sebastien,Swimming
Sudan,KOUMI EL NOUR Sadam Suliman,Athletics
France,KOUNTA Muhammad,Athletics
Italy,KOUTSOYANOPULOS Giulia,Baseball/Softball
Slovakia,KOVACOCY Marian,Shooting
Hungary,KOVACS Barbara,Athletics
United States of America,KOVACS Joe,Athletics
Hungary,KOVACS Sarolta,Modern Pentathlon
Hungary,KOVACS Zsofia,Artistic Gymnastics
Hungary,KOVACS Zsofia,Triathlon
Hungary,KOVACSICS Aniko,Handball
Ukraine,KOVALENKO Nazar,Athletics
Ukraine,KOVALOV Stanislav,Rowing
Ukraine,KOVTUN Illia,Artistic Gymnastics
Poland,KOWALCZUK Aleksandra,Taekwondo
Poland,KOWALCZYK Julia,Judo
Poland,KOWALSKI Jerzy,Rowing
Poland,KOWALUK Dariusz,Athletics
Australia,KOWPLOS Katarina Rose,Shooting
Hungary,KOZAK Danuta,Canoe Sprint
Hungary,KOZAK Luca,Athletics
United States of America,KOZENIESKY Lucas,Shooting
Russia,KOZIK Yulia,3x3 Basketball
Hungary,KOZMA Dominik,Swimming
Slovenia,KOZOROG Alja,Canoe Slalom
Czech Republic,KOZUBEK Matej,Marathon Swimming
Germany,KOZUCH Margareta,Beach Volleyball
Japan,KOZUKA Miki,Hockey
Slovenia,KOZUL Deni,Table Tennis
Russia,KOZYREV Sergei,Wrestling
Germany,KRAFZIK Carolina,Athletics
Germany,KRAJEWSKI Julia,Equestrian
Serbia,KRAJISNIK Tina,Basketball
Argentina,KRALJEV Milka,Rowing
Israel,KRAMARENKO Yana,Rhythmic Gymnastics
Sweden,KRAMER Andreas,Athletics
Denmark,KRAMER Mathilde U.,Athletics
Slovenia,KRAMPL Mia,Sport Climbing
Russia,KRASILNIKOV Viacheslav,Beach Volleyball
Kosovo,KRASNIQI Distria,Judo
Bulgaria,KRASTEVA Stoyka Zhelyazkova,Boxing
Germany,KRAUSE Gesa Felicitas,Athletics
Hungary,KRAUSZ Gergely,Badminton
United States of America,KRAUT Laura,Equestrian
Latvia,KRAVCENOKA Anastasija,Beach Volleyball
Kazakhstan,KRAVCHENKO Zoya,Shooting
Germany,KRAWIETZ Kevin,Tennis
Hungary,KREISS Fanni,Fencing
Czech Republic,KREJCIKOVA Barbora,Tennis
Canada,KRETZ Amelie,Triathlon
Tunisia,KRIMI Khadija,Rowing
Norway,KRISTIANSEN Veronica,Handball
Uzbekistan,KRITININA Natalya,Swimming
Hungary,KRIZSAN Xenia,Athletics
Germany,KROGER Mieke,Cycling Track
Netherlands,KROMMENHOEK Guillaume,Rowing
Netherlands,KROMOWIDJOJO Ranomi,Swimming
Germany,KROPPEN Michelle,Archery
Czech Republic,KRPALEK Lukas,Judo
Czech Republic,KRSEK Matej,Athletics
Austria,KRSSAKOVA Magdalena,Judo
United States of America,KRUEGER Casey,Football
Germany,KRUEGER Stephan,Rowing
Poland,KRUKOWSKI Marcin,Athletics
Latvia,KRUMINS Edgars,3x3 Basketball
Netherlands,KRUMINS Susan,Athletics
Serbia,KRUNIC Aleksandra,Tennis
Lithuania,KRUPECKAITE Simona,Cycling Track
Germany,KRUSE Max,Football
Denmark,KRUTH Carina Cassoe,Equestrian
Poland,KRZEWINA Jakub,Athletics
Kyrgyzstan,KUBANYCHBEKOVA Kanykei,Shooting
Poland,KUBIAK Michal,Volleyball
Slovakia,KUBIS Lukas,Cycling Road
Japan,KUBO Takefusa,Football
Poland,KUBOT Lukasz,Tennis
Japan,KUBOTA Manaka,Canoe Sprint
Czech Republic,KUBOVA Simona,Swimming
Poland,KUCZERA Piotr,Judo
Russia,KUDASHEV Aleksandr,Swimming
Russia,KUDERMETOVA Veronika,Tennis
Germany,KUDLA Denis Maksymilian,Wrestling
Japan,KUDO Kyoko,Water Polo
Eritrea,KUDUS Merhawi,Cycling Road
Germany,KUECHLER Hannah,Swimming
Germany,KUEHN Julius,Handball
Switzerland,KUENG Stefan,Cycling Road
Czech Republic,KUF Jan,Modern Pentathlon
"Virgin Islands, US",KUIPERS Natalia Jean,Swimming
Kosovo,KUKA Loriana,Judo
Russia,KUKINA Marina,Rugby Sevens
Ukraine,KUKLINOVSKA Liudmyla,Canoe Sprint
Serbia,KUKOLJ Aleksandar,Judo
Czech Republic,KUKRLE Michael,Cycling Road
Germany,KUKUK Christian,Equestrian
Kazakhstan,KUKUSHKIN Mikhail,Tennis
Belarus,KULAGINA Daria,Artistic Swimming
Kazakhstan,KULIKOV Alexandr,Canoe Slalom
Ukraine,KULISH Serhiy,Shooting
Sweden,KULLBERG Emma,Football
Germany,KULLMANN Leonie Marlen,Swimming
Japan,KUMAGAI Saki,Football
Brazil,KUMAHARA Caroline,Table Tennis
India,KUMANAN Nethra,Sailing
India,KUMAR Ashish,Boxing
India,KUMAR Deepak,Shooting
United States of America,KUMAR Nikhil,Table Tennis
India,KUMAR Sandeep,Athletics
India,KUMAR Surender,Hockey
India,KUMAR Varun,Hockey
India,KUMARI Deepika,Archery
Nigeria,KUNAIYI-AKPANAH Pallas,Basketball
Zambia,KUNDANANJI Racheal,Football
Kenya,KUNDU Agripina Khayesi,Volleyball
Kazakhstan,KUNKABAYEV Kamshybek,Boxing
United States of America,KUNZ Annie,Athletics
Bhutan,KUNZANG Lenchu,Shooting
Brazil,KUNZE Kahena,Sailing
Taiwan,KUO Hsing-Chun,Weightlifting
Finland,KUOSMANEN Matti Elias,Wrestling
Belarus,KURACHKINA Iryna,Wrestling
Kazakhstan,KURBANOV Ruslan,Fencing
Uzbekistan,KURBANOV Ruslan,Athletics
Poland,KUREK Bartosz,Volleyball
Japan,KURIBAYASHI Ryoji,Baseball/Softball
Japan,KURIHARA Ryoya,Baseball/Softball
Czech Republic,KURIKOVA Petra,Triathlon
Russia,KUROCHKINA Ekaterina,Rowing
Japan,KUROGO Ai,Volleyball
Japan,KUROKAWA Kazuki,Athletics
Finland,KURTBAY Sinem,Sailing
Turkey,KUS Nafia,Taekwondo
Germany,KUSCH Marius,Swimming
Germany,KUSTERER Sabine Beate,Weightlifting
Estonia,KUUBA Kristin,Badminton
Finland,KUUSELA Toni,Athletics
Netherlands,KUWORGE Enzo Kofi,Weightlifting
Russia,KUZAKHMETOV Artem,Canoe Sprint
Russia,KUZIUTINA Natalia,Judo
Russia,KUZNETSOV Evgenii,Diving
Russia,KUZNETSOVA Polina,Handball
Croatia,KVESIC Ivan,Karate
Czech Republic,KVITOVA Petra,Tennis
South Korea,KWAK Junghye,Shooting
Poland,KWASNA Magdalena,Sailing
Germany,KWAYIE Lisa Marie,Athletics
South Korea,KWEON Youngjun,Fencing
Poland,KWIATKOWSKI Michal,Cycling Road
South Korea,KWON Changhoon,Football
South Korea,KWON Eunji,Shooting
South Korea,KWON Halim,Diving
South Korea,KWON Soonwoo,Tennis
Ukraine,KYLYPKO Maryna,Athletics
Greece,KYNIGAKIS Athanasios,Marathon Swimming
Japan,KYOGOKU Okina,Artistic Swimming
Greece,KYRIAKOPOULOU Nikoleta,Athletics
Greece,KYRIDOU Anneta,Rowing
Greece,KYRIDOU Maria,Rowing
Cuba,la CRUZ Julio,Boxing
Canada,la ROCHE Shae,Water Polo
Morocco,LAARAJ Nada,Taekwondo
Canada,LABBE Stephanie,Football
France,LABOUS Juliette,Cycling Road
France,LABROUSSE Lea,Trampoline Gymnastics
Italy,LACATENA Alexia,Baseball/Softball
Australia,LACK Rachel,Baseball/Softball
France,LACOSTE Sokhna,Athletics
France,LACRABERE Alexandra,Handball
Netherlands,LACRUZ Enrico,Boxing
Dominica,LAFOND Thea,Athletics
France,LAFONT Marie-Zelia,Canoe Slalom
Algeria,LAGAB Azzedine,Cycling Road
United States of America,LAGAN Alexis,Shooting
Venezuela,LAGE Andres,Sailing
Sweden,LAGERGREN Albin,Handball
Sweden,LAGERQUIST Anna,Handball
France,LAGHOUAG Karim Florent,Equestrian
India,LAHIRI Anirban,Golf
Algeria,LAHOULOU Abdelmalik,Athletics
Sweden,LAHTI Sarah,Athletics
Mexico,LAINEZ Diego,Football
Israel,LAITAROVSKY Michael,Swimming
Great Britain,LAKE Morgan,Athletics
Israel,LAKIND Jared,Baseball/Softball
India,LAKRA Birendra,Hockey
India,LAL JAT Arjun,Rowing
Canada,LALONDE Genevieve,Athletics
Bulgaria,LALOVA-COLLIO Ivet,Athletics
India,LALREMSIAMI,Hockey
Hong Kong,LAM Siu Hang,Table Tennis
United States of America,LAM Timothy,Badminton
Ireland,LAMBE Eimear,Rowing
Netherlands,LAMBRIEX Bart,Sailing
Spain,LAMDASSEM Ayad,Athletics
France,LAMOLLE Mathilde,Shooting
Italy,LAMON Francesco,Cycling Track
France,LAMOTE Renelle,Athletics
Canada,LAMOUREUX Jay,Cycling Track
Finland,LAMPELA Elina,Athletics
Germany,LAMSFUSS Mark,Badminton
China,LAN Minghao,Fencing
Australia,LANDALE Jock,Basketball
Ecuador,LANDAZURI Marizol,Athletics
Denmark,LANDIN Magnus,Handball
Denmark,LANDIN Niklas,Handball
Tunisia,LANDOLSI Nihel,Judo
Tunisia,LANDOULSI Nouha,Weightlifting
Canada,LANDRY Ghislaine,Rugby Sevens
Great Britain,LANE Ben,Badminton
New Zealand,LANE Sam,Hockey
Switzerland,LANG Salome,Athletics
Brazil,LANGARO Haniel,Handball
France,LANGASQUE Romain,Golf
Kenya,LANGAT Weldon,Athletics
Argentina,LANGE Santiago Raul,Sailing
Germany,LANGE Tobias,Athletics
Germany,LANGEHANENBERG Helen,Equestrian
Canada,LANGERFELD Kai,Rowing
Canada,LANGLOIS Andreanne,Canoe Sprint
Germany,LANGREHR Rebecca,Modern Pentathlon
Israel,LANIR Inbar,Judo
Great Britain,LANSIQUOT Imani,Athletics
Italy,LANZI Asia,Skateboarding
Cyprus,LAPPA Natasa,Sailing
Canada,LAPPAGE Danielle Suzanne,Wrestling
Argentina,LAPROVITTOLA Nicolas,Basketball
Trinidad and Tobago,LARA Che,Athletics
Chile,LARA Francisca,Football
Dominican Republic,LARA Krystal,Swimming
Mauritius,LARARAUDEUSE Jeremie,Athletics
France,LARCHERON Madeleine,Skateboarding
Russia,LARIN Vladislav,Taekwondo
Australia,LARKIN Mitch,Swimming
Argentina,LAROCCA Jose Maria Jr,Equestrian
France,LARROQUE Koumba,Wrestling
Norway,LARSEN Henrik,Shooting
Denmark,LARSEN Niklas,Cycling Track
United States of America,LARSON Jordan,Volleyball
Spain,LARUMBE GONFAUS Marc,Water Polo
Uruguay,LASA Emiliano,Athletics
Russia,LASITSKENE Mariya,Athletics
France,LASSOURCE Coralie,Handball
Canada,LATTIMER Maxwell,Rowing
Bahrain,LATYPOV Danis,Boxing
Hong Kong,LAU Mo Sheung Grace,Karate
Great Britain,LAUGHER Jack,Diving
Portugal,LAUNAY Antoine,Canoe Slalom
South Africa,LAURENSON Cameron Bain,Water Polo
Australia,LAURIE Katie,Equestrian
France,LAURIN Althea,Taekwondo
Belgium,LAUS Camille,Athletics
Israel,LAVARNWAY Ryan,Baseball/Softball
United States of America,LAVELLE Rose,Football
Australia,LAVERY Nicholas,Rowing
Australia,LAVEY Tess,Basketball
Italy,LAVIA Daniele,Volleyball
Czech Republic,LAVICKY Karel,Sailing
France,LAVILLENIE Renaud,Athletics
France,LAVILLENIE Valentin,Athletics
Ireland,LAVIN Sarah,Athletics
Netherlands,LAVREYSEN Harrie,Cycling Track
Kazakhstan,LAVROVA Anastassiya,Table Tennis
Ireland,LAWLER Marcus,Athletics
Canada,LAWRENCE Ashley,Football
Jamaica,LAWRENCE Shadae,Athletics
Canada,LAWRIE Danielle,Baseball/Softball
Australia,LAWSON Nathan,Rugby Sevens
Australia,LAWTON Amy Rose,Hockey
Australia,LAY Jian Fang,Table Tennis
Australia,LAYNE Kelly,Equestrian
Kyrgyzstan,LAZAREV Aiaal,Wrestling
Russia,LAZAREVA Anna,Volleyball
Argentina,LAZCANO Julieta Constanza,Volleyball
Serbia,LAZIC Dorde,Water Polo
United States of America,LAZOR Annie,Swimming
France,le BLOUCH Kilian,Judo
South Africa,le CLOS Chad,Swimming
France,le FEE Enzo,Football
France,le GOFF Nicolas,Volleyball
France,le PECHOUX Erwann,Fencing
Vietnam,LE Thanh Tung,Artistic Gymnastics
Australia,LEAHY Conor,Cycling Track
Brazil,LEAL HIDALGO Yoandy,Volleyball
Brazil,LEAL Rayssa,Skateboarding
Great Britain,LEARMONTH Jessica,Triathlon
Great Britain,LEASK Harry,Rowing
New Zealand,LEAT Anna,Football
Ireland,LEAVY Adam,Rugby Sevens
Russia,LEBEDEVA Anastasia,Rowing
Russia,LEBEDEVA Iana,Trampoline Gymnastics
France,LEBESSON Emmanuel,Table Tennis
Canada,LEBLANC-BAZINET Rachel,Weightlifting
Italy,LECHNER Eva,Cycling Mountain Bike
Mexico,LECHUGA Kenia,Rowing
Belgium,LECLUYSE Fanny,Swimming
France,LECOINTRE Camille,Sailing
France,LECOMTE Loana,Cycling Mountain Bike
United States of America,LEDECKY Kathleen,Swimming
Jamaica,LEDGISTER Leonardo,Athletics
France,LEDUC Cynthia,Athletics
South Korea,LEE Ahreum,Taekwondo
Taiwan,LEE Chih Kai,Artistic Gymnastics
South Korea,LEE Dabin,Taekwondo
South Korea,LEE Daehoon,Taekwondo
South Korea,LEE Donggyeong,Football
South Korea,LEE Dongjun,Football
South Korea,LEE Euilee,Baseball/Softball
South Korea,LEE Eunji,Swimming
Hong Kong,LEE Ho Ching,Table Tennis
South Korea,LEE Hojoon,Swimming
South Korea,LEE Hyein,Fencing
South Korea,LEE Hyejin,Cycling Track
Malaysia,LEE Hup Wei,Athletics
Hong Kong,LEE Hoi Yan Jessica,Cycling Track
South Korea,LEE Jung Hoo,Baseball/Softball
South Korea,LEE Jinkyu,Rugby Sevens
South Korea,LEE Jongjun,Shooting
South Korea,LEE Junho,Artistic Gymnastics
South Korea,LEE Kangin,Football
Australia,LEE Kareena,Marathon Swimming
South Korea,LEE Kwanghyun,Fencing
Haiti,LEE Lauren,Taekwondo
Great Britain,LEE Matty,Diving
South Korea,LEE Migyeong,Handball
Taiwan,LEE Min,Golf
Australia,LEE Minjee,Golf
Malaysia,LEE Meng Yean,Badminton
Australia,LEE Se-Bom,Swimming
South Korea,LEE Sangmin,Football
South Korea,LEE Sangsu,Table Tennis
South Korea,LEE Seongbae,Rugby Sevens
South Korea,LEE Sohee,Badminton
South Korea,LEE Soyoung,Volleyball
South Korea,LEE Sungho,Judo
United States of America,LEE Sunisa,Artistic Gymnastics
South Korea,LEE Seon Mi,Weightlifting
Taiwan,LEE Yang,Badminton
South Korea,LEE Youhyeon,Football
South Korea,LEE Yunseo,Artistic Gymnastics
Malaysia,LEE Zii Jia,Badminton
France,LEFEBVRE Helene,Rowing
France,LEFORT Enzo,Fencing
Austria,LEHACI Ana-Roxana,Canoe Sprint
Romania,LEHACI Florin,Rowing
Finland,LEHIKOINEN Viivi,Athletics
Estonia,LEHIS Katrina,Fencing
Taiwan,LEI Chien-Ying,Archery
United States of America,LEIBFARTH Evy,Canoe Slalom
Israel,LEICHMAN Alon,Baseball/Softball
Samoa,LEILUA Eroni,Sailing
Hungary,LEIMETER Dora,Water Polo
Australia,LEISHMAN Marc,Golf
Spain,LEITON ARRONES Paula,Water Polo
Norway,LEKNESSUND Andreas,Cycling Road
Lithuania,LELEIVYTE Rasa,Cycling Road
Israel,LELIOR Anat,Surfing
Canada,LEMAY-LAVOIE Elyse,Water Polo
France,LEMBACH Charlotte,Fencing
South Africa,LEMBETHE Nduduza Peabo,Hockey
Ethiopia,LEMI Teddese,Athletics
Germany,LEMKE Finn,Handball
Germany,LEMKE Max,Canoe Sprint
Ethiopia,LEMMA Sisay,Athletics
Switzerland,LEMMENS Silke,Athletics
Jamaica,LEMONIOUS Phillip,Athletics
Brazil,LEMOS Ana Claudia,Athletics
Trinidad and Tobago,LENDORE Deon,Athletics
Ireland,LENNOX Hugo,Rugby Sevens
Canada,LEON Adriana,Football
Spain,LEON Danny,Skateboarding
Venezuela,LEON Karen,Judo
Poland,LEON VENERO Wilfredo,Volleyball
Italy,LEONARDI Giuseppe,Athletics
Malaysia,LEONG Mun Yee,Diving
Canada,LEPAGE Pierce,Athletics
France,LEPREVOST Penelope,Equestrian
France,LESAFFRE Fantine,Swimming
Cuba,LESCAY GAY Lester Alcides,Athletics
Russia,LESHUKOV Ilya,Beach Volleyball
Poland,LESIEWICZ Kornelia,Athletics
Ukraine,LESIUK Artem,Judo
Germany,LESSMANN Lara Marie,Cycling BMX Freestyle
Australia,LETCHER Luke,Rowing
Denmark,LETH Julie,Cycling Track
Brazil,LETICIA,Football
New Zealand,LETT Dane,Hockey
Hong Kong,LEUNG Bo Yee,Cycling Track
Canada,LEUNG Janet,Baseball/Softball
Australia,LEUNG Simon Wing Hang,Badminton
Netherlands,LEURINK Laurien,Hockey
United States of America,LEUTA Matai,Rugby Sevens
Serbia,LEVAJAC Dimitrije,Table Tennis
Ukraine,LEVCHENKO Yuliya,Athletics
France,LEVERDEZ Brice,Badminton
United States of America,LEVERETT Henry Turner,Shooting
United States of America,LEVERETT III Jack Hobson,Shooting
Australia,LEVI Maddison,Rugby Sevens
Canada,LEVINS Cameron,Athletics
Kazakhstan,LEVIT Vassiliy,Boxing
Bulgaria,LEVTEROV Kaloyan,Swimming
Germany,LEVY Maximilian,Cycling Track
Jamaica,LEVY Ronald,Athletics
Georgia,LEVYTSKA-SHUKVANI Tetiana,Judo
Poland,LEWANDOWSKI Marcin,Athletics
Trinidad and Tobago,LEWIS Andrew,Sailing
New Zealand,LEWIS Clayton,Football
Great Britain,LEWIS Emily,Canoe Sprint
France,LEYNAUD Amandine,Handball
Mexico,LEYVA YEPEZ Alfonso Antonio,Wrestling
Mexico,LEYVER Jose,Athletics
China,LI Bingjie,Swimming
China,LI Dongxiao,Hockey
China,LI Fabin,Weightlifting
China,LI Haonan,3x3 Basketball
China,LI He,Athletics
China,LI Hong,Hockey
China,LI Jialun,Archery
China,LI Jiaqi,Hockey
China,LI Jingjing,Rowing
China,LI Jun Hui,Badminton
China,LI Ling,Athletics
China,LI Meng,Basketball
China,LI Mengwen,Football
Canada,LI Michelle,Badminton
China,LI Qian,Boxing
Poland,LI Qian,Table Tennis
China,LI Qingtong,Football
Australia,LI Shixin,Diving
China,LI Shuhuan,Modern Pentathlon
China,LI Tong,Canoe Slalom
China,LI Wenwen,Weightlifting
China,LI Yaofeng,Equestrian
China,LI Yin Hui,Badminton
China,LI Yingying,Volleyball
China,LI Yuan,Basketball
China,LI Yuehong,Shooting
China,LI Yueru,Basketball
China,LI Yuting,Athletics
Germany,LI Yvonne,Badminton
China,LI Zhenqiang,Equestrian
China,LI Zhixuan,Athletics
Belarus,LIAKHOVICH Aliaksandr,Athletics
China,LIANG Meiyu,Hockey
China,LIANG Ruiji,Equestrian
China,LIANG Xiaojing,Athletics
China,LIANG Xinping,Artistic Swimming
China,LIAO Qiuyun,Weightlifting
Russia,LICHAGINA Yulia,Fencing
Poland,LICWINKO Kamila,Athletics
Germany,LIEBIG Fabian,Modern Pentathlon
Taiwan,LIEN Chen-Ling,Judo
Canada,LIENDO EDWARDS Joshua,Swimming
Czech Republic,LIESER Ondrej,Golf
Singapore,LIEW Li-Shan Chantal,Marathon Swimming
Russia,LIFANOV Alexander,Modern Pentathlon
Solomon Islands,LIFU Mary Kini,Weightlifting
United States of America,LIGHTFOOT Kc,Athletics
France,LIHADJI Isaac,Football
India,LIKMABAM Shushila Devi,Judo
Fiji,LIKUCEVA Laisana,Rugby Sevens
South Africa,LILL Candice,Cycling Mountain Bike
United States of America,LILLARD Damian,Basketball
Australia,LILLEY Jake,Sailing
Singapore,LIM Kimberly Min,Sailing
Singapore,LIM Shen-Yan Freida,Diving
Argentina,LIMA Bruno,Volleyball
Brazil,LIMA Felipe,Swimming
Portugal,LIMA Jorge,Sailing
Brazil,LIMA Silvana,Surfing
Venezuela,LIMARDO GASCON Ruben,Fencing
South Africa,LIMBERG Alex,Cycling BMX Racing
Federated States of Micronesia,LIMTIACO Tasi,Swimming
Taiwan,LIN Chia-En,Archery
Taiwan,LIN Chen-Hao,Judo
China,LIN Chaopan,Artistic Gymnastics
China,LIN Junmin,Shooting
China,LIN Sheng,Fencing
China,LIN Wenjun,Canoe Sprint
China,LIN Xinyu,Rowing
China,LIN Xiyu,Golf
Hong Kong,LIN Yik Hei Coco,Fencing
Taiwan,LIN Yun Ju,Table Tennis
Singapore,LIN Ye,Table Tennis
China,LIN Yuemei,Shooting
China,LIN Yuping,Football
Taiwan,LIN Ying-Shin,Shooting
Taiwan,LIN Yu-Ting,Boxing
China,LIN Zushen,Wrestling
Sweden,LINDAHL Hedvig,Football
Germany,LINDEMANN Laura,Triathlon
United States of America,LINDEN Desiree,Athletics
Costa Rica,LINDO ALVAREZ Neshi Lee,Taekwondo
Kenya,LINDO Christabel,Rugby Sevens
Sweden,LINDQVIST Emma,Handball
Great Britain,LINDSAY HAGUE Ollie,Rugby Sevens
Sweden,LINDSKOG Anton,Handball
Poland,LINETTE Magda,Tennis
Germany,LINKE Christopher,Athletics
Poland,LINKIEWICZ Joanna,Athletics
Belgium,LINSKENS Kyara,Basketball
Georgia,LIPARTELIANI Eteri,Judo
Georgia,LIPARTELIANI Varlam,Judo
Israel,LIPETZ Shlomo,Baseball/Softball
Kazakhstan,LIPILIN Pavel,Water Polo
Germany,LIPPERT Liane,Cycling Road
Czech Republic,LIPTAK Jiri,Shooting
Brazil,LIRA Luana,Diving
Italy,LISI Veronica,Rowing
Poland,LISOWSKA Aleksandra,Athletics
Russia,LISTUNOVA Viktoriia,Artistic Gymnastics
Germany,LITA BAEHRE Bo Kanda,Athletics
Ukraine,LITANIUK Valeriy,Athletics
Great Britain,LITCHFIELD Joe,Swimming
Great Britain,LITCHFIELD Max,Swimming
United States of America,LITHERLAND Jay,Swimming
New Zealand,LITI David Andrew,Weightlifting
Great Britain,LITTLE Kim,Football
Australia,LITTLE Mackenzie,Athletics
United States of America,LITTLE Shamier,Athletics
Kazakhstan,LITVIN Mikhail,Athletics
Belarus,LITVINAU Uladzislau,Canoe Sprint
Belarus,LITVINCHUK Maryna,Canoe Sprint
Israel,LITVINOV David,Weightlifting
Belarus,LITVINOVICH Ivan,Trampoline Gymnastics
China,LIU Dang,Rowing
China,LIU Hao,Canoe Sprint
Austria,LIU Jia,Table Tennis
China,LIU Jiali,Cycling Track
China,LIU Jinchao,Rowing
China,LIU Jing,Football
United States of America,LIU Juan,Table Tennis
China,LIU Lingling,Trampoline Gymnastics
China,LIU Meng,Hockey
China,LIU Minghu,Wrestling
China,LIU Shiwen,Table Tennis
China,LIU Shiying,Athletics
Taiwan,LIU Wei-Ting,Taekwondo
China,LIU Xiaoqian,Rugby Sevens
China,LIU Xiaotong,Volleyball
China,LIU Xiaoxin,Rowing
China,LIU Xin,Rhythmic Gymnastics
China,LIU Yang,Artistic Gymnastics
China,LIU Yanhan,Volleyball
China,LIU Yaxin,Swimming
China,LIU Yu Chen,Badminton
China,LIU Zhiyu,Rowing
Finland,LIUKKONEN Ari-Pekka,Swimming
Ukraine,LIVACH Oksana,Wrestling
Mongolia,LKHAGVASUREN Otgonbaatar,Judo
Mongolia,LKHAGVASUREN Sosorbaram,Judo
Spain,LLAVADOR Carlos,Fencing
Spain,LLEONART BLANCO Xavier,Hockey
Spain,LLORENTE David,Canoe Slalom
United States of America,LLOYD Carli,Football
Antigua and Barbuda,LLOYD Joella,Athletics
Australia,LLOYD Tess,Sailing
Spain,LLULL Sergio,Basketball
Taiwan,LO Chia-Ling,Taekwondo
Germany,LO Maodo,Basketball
Singapore,LO Ryan,Sailing
Canada,LOACH Colleen,Equestrian
Hungary,LOBANOVSKIJ Maxim,Swimming
Germany,LOBE Ricarda,Athletics
Austria,LOBNIG Magdalena,Rowing
Poland,LOBODA Kinga,Sailing
Poland,LOCHOWSKA Joanna,Weightlifting
Italy,LODADIO Marco,Artistic Gymnastics
Italy,LODO Matteo,Rowing
New Zealand,LOE Olivia,Rowing
France,LOEUILLETTE Stephanie,Table Tennis
Germany,LOEW Andreas,Shooting
Germany,LOEWEN Eduard,Football
Norway,LOEYNING Ingeborg,Swimming
Mozambique,LOFORTE Kevin,Judo
Australia,LOGARZO Chloe,Football
Romania,LOGOFATU Elena,Rowing
Russia,LOGUNOVA Anastasiia,3x3 Basketball
Ukraine,LOGUTENKOVA Inna,Equestrian
Singapore,LOH Kean Yew,Badminton
Refugee Olympic Team,LOHALITH Anjelina Nadai,Athletics
Ukraine,LOHVYNENKO Alina,Athletics
Estonia,LOIV Janika,Cycling Mountain Bike
Russia,LOKHANOV Konstantin,Fencing
Refugee Olympic Team,LOKORO Paulo Amotun,Athletics
Israel,LOKTEV Denis,Swimming
Poland,LOMACZ Grzegorz,Volleyball
Italy,LOMBARDO Manuel,Judo
Slovakia,LOMNICKY Marcel,Athletics
Croatia,LONCAR Luka,Water Polo
United States of America,LONDON Wilbert,Athletics
Germany,LONG Hurly,Golf
China,LONG Jia,Wrestling
China,LONG Xiaoqing,Archery
United States of America,LONGAN Amanda,Water Polo
Australia,LONGBOTTOM Maurice,Rugby Sevens
Italy,LONGHI Giulia,Baseball/Softball
New Zealand,LONGO Annalie,Football
Italy,LONGO BORGHINI Elisa,Cycling Road
Malaysia,LOO Phay Xing,Artistic Gymnastics
Namibia,LOOSER Vera,Cycling Road
New Zealand,LOPAS Jack,Rowing
Portugal,LOPES Gabriel,Swimming
Brazil,LOPES Vittoria,Triathlon
Cuba,LOPEZ Arlen,Boxing
Italy,LOPEZ Brayan,Athletics
Mexico,LOPEZ FERRER Ana Gabriela,Weightlifting
Spain,LOPEZ GARCIA Maria,Hockey
Mexico,LOPEZ Gabriela,Golf
Spain,LOPEZ HERRERO Marta,Handball
Spain,LOPEZ JIMENEZ Soledad,Handball
United States of America,LOPEZ Jack,Baseball/Softball
Argentina,LOPEZ Juan Martin,Hockey
Mexico,LOPEZ Jesus Tonatiu,Athletics
Spain,LOPEZ Miguel Angel,Athletics
Spain,LOPEZ MARRA Iago,Sailing
Chile,OPAZO Nayadet,Football
Cuba,LOPEZ NUNEZ Mijain,Wrestling
Spain,LOPEZ PINEDO Daniel,Water Polo
Chile,LOPEZ Yessenia,Football
Guatemala,LOPEZ Yulisa,Rowing
Germany,LORENZ Nike,Hockey
Hungary,LORINCZ Viktor,Wrestling
